Herpestes ichneumon
Genetta genetta
Martes foina
Vulpes vulpes
Meles meles
Lutra lutra
Sus scrofa
Erinaceus europaeus
Talpa occidentalis
Lepus granatensis
Oryctolagus cuniculus
Rattus rattus
Apodemus sylvaticus
Rattus norvegicus
Plecotus austriacus
Myotis escalerai
Myotis myotis
Tadarida teniotis
Myotis daubentonii
Miniopterus schreibersii
Nyctalus lasiopterus
Pipistrellus kuhlii
Myotis bechsteinii
